,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude,Codes,Continent
33,Algeria,Algiers Province,472,261,103,36.775360600000006,3.0601882,DZA,Africa
34,Algeria,Oran Province,186,50,13,35.7032751,-0.6492975999999999,DZA,Africa
35,Algeria,Sétif Province,140,2,10,36.1892751,5.403493,DZA,Africa
36,Algeria,Aïn Defla Province,113,0,5,36.2656797,1.9701666,DZA,Africa
37,Algeria,Tipaza Province,110,0,20,2.4482509,36.5918179,DZA,Africa
38,Algeria,Béjaïa Province,108,1,14,36.7511783,5.0643687,DZA,Africa
39,Algeria,Constantine Province,102,0,9,36.364519,6.6082600000000005,DZA,Africa
40,Algeria,Tizi Ouzou Province,97,2,13,36.7137843,4.0493919,DZA,Africa
41,Algeria,Bordj Bou Arréridj Province,70,0,16,36.07411210000001,4.7613476,DZA,Africa
42,Algeria,Tlemcen Province,61,0,6,34.881789000000005,-1.316699,DZA,Africa
43,Algeria,Mostaganem Province,56,0,3,35.92880800000001,0.089978,DZA,Africa
44,Algeria,Chlef Province,49,0,1,36.164592,1.331499,DZA,Africa
45,Algeria,Tiaret Province,46,0,2,35.3661448,1.3194687,DZA,Africa
46,Algeria,Djelfa Province,45,0,4,34.671359,3.254037,DZA,Africa
47,Algeria,Médéa Province,44,1,10,36.265344,2.766957,DZA,Africa
48,Algeria,Biskra Province,42,2,6,34.8508508,5.7286877999999986,DZA,Africa
49,Algeria,Boumerdès Province,42,1,7,36.758882,3.470596,DZA,Africa
50,Algeria,Tissemsilt Province,42,1,2,35.604813,1.810476,DZA,Africa
51,Algeria,Ouargla Province,40,1,5,31.94467,5.320958,DZA,Africa
52,Algeria,Oum El Bouaghi Province,40,0,4,35.86877579999999,7.115064500000001,DZA,Africa
53,Algeria,Mascara Province,39,2,4,35.394081,0.1379568,DZA,Africa
54,Algeria,Ghardaia Province,37,0,4,32.485855,3.677104,DZA,Africa
55,Algeria,Jijel Province,34,0,5,36.8167305,5.7714940000000015,DZA,Africa
56,Algeria,Skikda Province,33,3,4,36.879882,6.907485,DZA,Africa
57,Algeria,Sidi Bel Abbès Province,32,0,5,35.1911682,-0.6347284000000001,DZA,Africa
58,Algeria,El Oued Province,31,0,8,33.3611766,6.8603492,DZA,Africa
59,Algeria,Batna Province,26,1,4,35.554404,6.1767453,DZA,Africa
60,Algeria,Adrar Province,25,0,1,27.8733807,-0.2874884,DZA,Africa
61,Algeria,Khenchela Province,25,0,2,7.145711,35.43015399999999,DZA,Africa
62,Algeria,Annaba Province,24,3,3,36.8982165,7.7549272,DZA,Africa
63,Algeria,Aïn Témouchent Province,24,0,4,35.26665705,-1.1499276224075037,DZA,Africa
64,Algeria,Bouïra Province,20,1,2,36.37390120000001,3.9007007000000007,DZA,Africa
65,Algeria,Laghouat Province,20,0,0,33.8063518,2.8808616,DZA,Africa
66,Algeria,Tébessa Province,20,0,2,35.4035956,8.1212322,DZA,Africa
67,Algeria,Relizane Province,18,0,3,35.738119299999994,0.5547673000000001,DZA,Africa
68,Algeria,M'Sila Province,17,0,6,35.70875529999999,4.5371552,DZA,Africa
69,Algeria,Guelma Province,16,0,1,36.465084,7.430647,DZA,Africa
70,Algeria,Béchar Province,14,0,0,31.6165355,-2.2180053,DZA,Africa
71,Algeria,El Taref Province,10,0,0,35.6476666,5.4598195,DZA,Africa
72,Algeria,Mila Province,9,0,1,36.451941,6.262331,DZA,Africa
73,Algeria,Souk Ahras Province,7,0,1,36.284832,7.9515466,DZA,Africa
74,Algeria,Saïda Province,4,0,0,34.841640500000004,0.1509912,DZA,Africa
75,Algeria,El Bayadh Province,3,0,0,33.63785225,1.0122039112504564,DZA,Africa
76,Algeria,Illizi Province,2,0,0,26.488083500000002,8.357149150673568,DZA,Africa
77,Algeria,Naâma Province,1,0,0,33.2647342,-0.3110393,DZA,Africa
78,Algeria,Tamanrasset Province,1,0,0,22.7854543,5.5324465,DZA,Africa
79,Argentina,Buenos Aires Province,1181,0,72,-35.1458014,-62.7306676,ARG,South America
80,Argentina,Buenos Aires,1095,0,59,-34.6075682,-58.4370894,ARG,South America
81,Argentina,Chaco Province,281,0,11,-25.3042318,-57.6149682,ARG,South America
82,Argentina,Cordoba,272,0,11,-31.4173391,-64.183319,ARG,South America
83,Argentina,Santa Fe Province,239,0,2,-32.92920765,-60.818794351479255,ARG,South America
84,Argentina,Río Negro,178,0,6,-40.4811973,-67.6145911,ARG,South America
85,Argentina,Tierra del Fuego Province,114,0,0,-54.4071064,-67.8974895,ARG,South America
86,Argentina,Neuquen,107,0,4,-38.36950570000001,-69.832275,ARG,South America
87,Argentina,Mendoza Province,75,0,10,-35.1458014,-62.7306676,ARG,South America
88,Argentina,La Rioja Province,47,0,4,-32.87875080000001,-68.835015,ARG,South America
89,Argentina,Santa Cruz Province,42,0,0,-48.5693327,-70.1606767,ARG,South America
90,Argentina,Corrientes,40,0,0,-28.5912315,-57.9394658,ARG,South America
91,Argentina,Tucumán,34,0,3,-26.5643582,-64.882397,ARG,South America
92,Argentina,Entre Rios,22,0,0,-31.6252842,-59.3539578,ARG,South America
93,Argentina,Santiago del Estero Province,12,0,0,-34.7092989,-58.4090002,ARG,South America
94,Argentina,San Luis Province,10,0,0,-25.2208616,-57.518976,ARG,South America
95,Argentina,Misiones Province,6,0,1,-51.6296805,-69.2067251,ARG,South America
96,Argentina,Jujuy,5,0,0,-23.3161458,-65.7595288,ARG,South America
97,Argentina,La Pampa,5,0,0,-37.2314643,-65.3972948,ARG,South America
98,Argentina,Salta Province,3,0,0,-32.89604480000001,-68.8348455,ARG,South America
99,Argentina,Chubut Province,2,0,0,-44.99026420000001,-70.81717306137952,ARG,South America
100,Argentina,San Juan Province,2,0,0,-25.4656076,-54.68059153754289,ARG,South America
101,Armenia,Yerevan,219,0,7,40.17761210000001,44.5125849,ARM,Asia
102,Armenia,Ararat Province,179,0,0,39.9530516,44.801806075,ARM,Asia
103,Armenia,Kotayk Province,88,0,0,40.2803175,44.6545793,ARM,Asia
104,Armenia,Armavir Province,83,0,0,40.1158531,43.9365414,ARM,Asia
105,Armenia,Syunik Province,25,0,0,39.35086995,46.155037887649314,ARM,Asia
106,Armenia,Shirak Province,20,0,1,40.81400525,43.87987291777994,ARM,Asia
107,Armenia,Lori Province,12,0,0,40.9589685,44.54629758256929,ARM,Asia
108,Armenia,Aragatsotn Province,10,0,0,40.479544,44.29490030548395,ARM,Asia
109,Armenia,Gegharkunik Province,10,0,0,40.30526105,45.41001320000001,ARM,Asia
110,Armenia,Tavush Province,6,0,0,40.97285215,45.15347536249365,ARM,Asia
111,Armenia,Vayots Dzor Province,1,0,0,39.75381845,45.4236282167009,ARM,Asia
112,Australia,New South Wales,2994,0,0,-31.875983500000004,147.2869493,AUS,Oceania
113,Australia,Victoria,1346,0,0,-36.5986096,144.6780052,AUS,Oceania
114,Australia,Queensland,1026,0,0,-22.1646782,144.58449030000003,AUS,Oceania
115,Australia,Western Australia,549,0,0,-25.2303005,121.0187246,AUS,Oceania
116,Australia,South Australia,438,0,0,-30.5343665,135.6301212,AUS,Oceania
117,Australia,Tasmania,209,0,0,-42.14220555,146.67235178784668,AUS,Oceania
118,Australia,Australian Capital Territory,106,0,0,-35.488350200000006,149.00269419999995,AUS,Oceania
119,Australia,Northern Territory,27,0,0,-19.8516101,133.2303375,AUS,Oceania
120,Austria,Tyrol,3427,2556,86,47.223193,11.5261028,AUT,Europe
121,Austria,Lower Austria,2495,1572,83,48.2817813,15.7632457,AUT,Europe
122,Austria,Upper Austria,2205,1884,41,48.25,14.0,AUT,Europe
123,Austria,Vienna,2204,1635,96,48.2083537,16.372504199999998,AUT,Europe
124,Austria,Styria,1663,816,106,47.2500001,15.166666500000002,AUT,Europe
125,Austria,Salzburg,1201,930,30,47.7981346,13.0464806,AUT,Europe
126,Austria,Vorarlberg,859,731,10,47.25,9.9166667,AUT,Europe
127,Austria,Carinthia,394,307,10,46.7500001,13.8333333,AUT,Europe
128,Austria,Burgenland,307,200,8,47.5000001,16.4166666,AUT,Europe
129,Belgium,Flanders,24697,0,0,51.0962462,4.1798512892601565,BEL,Europe
130,Belgium,Wallonia,14293,0,0,50.1545331,5.3991821671645575,BEL,Europe
131,Belgium,Brussels,4438,0,0,50.8465573,4.351697,BEL,Europe
132,Bolivia,Santa Cruz Department,446,0,19,-17.333333,-61.5,BOL,South America
133,Bolivia,La Paz Department,155,0,14,-18.0226485,-70.25354370000001,BOL,South America
134,Bolivia,Cochabamba Department,70,0,6,-18.0226485,-70.25354370000001,BOL,South America
135,Bolivia,Oruro Department,65,0,2,-22.0889644,-65.59196452500437,BOL,South America
136,Bolivia,Beni Department,33,0,1,-19.024982,-65.703455,BOL,South America
137,Bolivia,Potosi Department,21,0,1,-20.666667,-66.666667,BOL,South America
138,Bolivia,Pando Department,12,0,1,-11.183333,-67.18333299999999,BOL,South America
139,Bolivia,Tarija Department,3,0,0,-11.3760022,-67.288238,BOL,South America
140,Bolivia,Chuquisaca Department,2,0,0,-64.416667,-20.0,BOL,South America
141,Brazil,State of São Paulo,17826,0,1512,-23.5506507,-46.6333824,BRA,South America
142,Brazil,State of Rio de Janeiro,6282,0,570,-22.9110137,-43.2093727,BRA,South America
143,Brazil,State of Ceará,4800,0,284,-5.3264703,-39.7156073,BRA,South America
144,Brazil,State of Pernambuco,3999,0,352,-8.4116316,-37.5919699,BRA,South America
145,Brazil,State of Amazonas,3194,0,255,-4.479925,-63.5185396,BRA,South America
146,Brazil,State of Bahia,1962,0,64,-12.285251,-41.9294776,BRA,South America
147,Brazil,State of Maranhão,1951,0,88,-5.2085503,-45.3930262,BRA,South America
148,Brazil,State of Pará,1446,0,75,-4.7493933,-52.89730060000001,BRA,South America
149,Brazil,State of Minas Gerais,1419,0,54,-18.5264844,-44.1588654,BRA,South America
150,Brazil,State of Espírito Santo,1381,0,42,-19.5687682,-40.1721991,BRA,South America
151,Brazil,State of Santa Catarina,1170,0,42,-27.0628367,-51.11496500000001,BRA,South America
152,Brazil,State of Paraná,1119,0,64,-24.4842187,-51.8148872,BRA,South America
153,Brazil,State of Rio Grande do Sul,1061,0,31,-29.8425284,-53.76805770000001,BRA,South America
154,Brazil,Federal District,989,0,26,-15.7754462,-47.7970891,BRA,South America
155,Brazil,State of Rio Grande do Norte,754,0,38,-5.6781175,-36.4781776,BRA,South America
156,Brazil,State of Amapá,633,0,18,1.3545442,-51.9161977,BRA,South America
157,Brazil,State of Goiás,486,0,24,-15.9323662,-50.13929279999999,BRA,South America
158,Brazil,State of Alagoas,413,0,27,-9.6611661,-36.65024260000001,BRA,South America
159,Brazil,State of Paraíba,386,0,44,-7.1219366,-36.7246845,BRA,South America
160,Brazil,State of Roraima,304,0,3,2.135138,-61.3631922,BRA,South America
161,Brazil,State of Rondônia,290,0,5,-10.943145,-62.8277863,BRA,South America
162,Brazil,State of Piauí,256,0,16,-7.699278200000001,-42.5043787,BRA,South America
163,Brazil,State of Mato Grosso,240,0,8,-12.2115009,-55.5716547,BRA,South America
164,Brazil,State of Acre,234,0,11,-9.0478679,-70.52649759999998,BRA,South America
165,Brazil,State of Mato Grosso do Sul,213,0,7,-19.5852564,-54.4794731,BRA,South America
166,Brazil,State of Sergipe,144,0,8,-10.6743911,-37.3773519,BRA,South America
167,Brazil,State of Tocantins,43,0,2,-10.8855129,-48.3716912,BRA,South America
168,Cambodia,Sihanoukville,40,0,0,10.5045515,103.25784114285528,KHM,Asia
169,Cambodia,Phnom Penh,28,0,0,11.568271,104.9224426,KHM,Asia
170,Cambodia,Kampong Cham Province,16,0,0,11.9921855,105.4628346,KHM,Asia
171,Cambodia,Battambang Province,8,0,0,13.0998526,103.1966659,KHM,Asia
172,Cambodia,Siem Reap Province,7,0,0,13.355487,103.8608382,KHM,Asia
173,Cambodia,Banteay Meanchey Province,4,0,0,13.589396100000002,102.9723093,KHM,Asia
174,Cambodia,Kep Province,4,0,0,10.4827998,104.3113349,KHM,Asia
175,Cambodia,Tbong Khmum Province,4,0,0,11.8914565,105.7756828,KHM,Asia
176,Cambodia,Kampong Chhnang Province,3,0,0,12.2536026,104.6658389,KHM,Asia
177,Cambodia,Kampot Province,2,0,0,10.6183061,104.1797339,KHM,Asia
178,Cambodia,Kandal Province,2,0,0,10.9986692,106.1691459,KHM,Asia
179,Cambodia,Koh Kong Province,2,0,0,11.4560302,103.122046,KHM,Asia
180,Cambodia,Preah Vihear Province,2,0,0,13.65115365,105.25819111658414,KHM,Asia
181,Canada,Quebec,22616,4724,1340,52.4760892,-71.8258668,CAN,North America
182,Canada,Ontario,13519,7087,763,50.000678,-86.000977,CAN,North America
183,Canada,Alberta,4017,1397,72,55.001251,-115.002136,CAN,North America
184,Canada,British Columbia,1853,1114,98,55.001251,-125.002441,CAN,North America
185,Canada,Nova Scotia,850,392,16,45.1960403,-63.1653789,CAN,North America
