,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
96,Argentina,La Pampa,5,0,0,-37.2314643,-65.3972948
97,Argentina,Misiones Province,5,0,0,-51.6296805,-69.2067251
98,Argentina,Salta Province,3,0,0,-32.8960448,-68.8348455
99,Argentina,Chubut Province,2,0,0,-44.9902642,-70.81717306137952
100,Argentina,San Juan Province,2,0,0,-25.4656076,-54.68059153754288
101,Armenia,Yerevan,219,0,7,40.1776121,44.5125849
102,Armenia,Ararat Province,179,0,0,39.9530516,44.801806075
103,Armenia,Kotayk Province,88,0,0,40.2803175,44.6545793
104,Armenia,Armavir Province,83,0,0,40.1158531,43.9365414
105,Armenia,Syunik Province,25,0,0,39.35086995,46.15503788764932
106,Armenia,Shirak Province,20,0,1,40.81400525,43.879872917779934
107,Armenia,Lori Province,12,0,0,40.9589685,44.54629758256927
108,Armenia,Aragatsotn Province,10,0,0,40.479544000000004,44.29490030548395
109,Armenia,Gegharkunik Province,10,0,0,40.30526105,45.41001320000001
110,Armenia,Tavush Province,6,0,0,40.97285215,45.153475362493644
111,Armenia,Vayots Dzor Province,1,0,0,39.75381845,45.423628216700905
112,Australia,New South Wales,2982,0,0,-31.8759835,147.2869493
113,Australia,Victoria,1343,0,0,-36.5986096,144.6780052
114,Australia,Queensland,1026,0,0,-22.1646782,144.5844903
115,Australia,Western Australia,548,0,0,-25.2303005,121.0187246
116,Australia,South Australia,438,0,0,-30.5343665,135.6301212
117,Australia,Tasmania,207,0,0,-42.14220555,146.6723517878467
118,Australia,Australian Capital Territory,104,0,0,-35.4883502,149.0026942
119,Australia,Northern Territory,27,0,0,-19.8516101,133.2303375
120,Austria,Tyrol,3427,2556,86,47.223193,11.5261028
121,Austria,Lower Austria,2495,1572,83,48.2817813,15.7632457
122,Austria,Upper Austria,2205,1884,41,48.25,14.0
123,Austria,Vienna,2204,1635,96,48.2083537,16.3725042
124,Austria,Styria,1663,816,106,47.2500001,15.1666665
125,Austria,Salzburg,1201,930,30,47.7981346,13.0464806
126,Austria,Vorarlberg,859,731,10,47.25,9.9166667
127,Austria,Carinthia,394,307,10,46.7500001,13.8333333
128,Austria,Burgenland,307,200,8,47.5000001,16.4166666
129,Belgium,Flanders,24697,0,0,51.096246199999996,4.179851289260157
130,Belgium,Wallonia,14293,0,0,50.154533099999995,5.3991821671645575
131,Belgium,Brussels,4438,0,0,50.8465573,4.351697
132,Bolivia,Santa Cruz Department,385,0,19,-17.333333,-61.5
133,Bolivia,La Paz Department,150,0,13,-18.0226485,-70.2535437
134,Bolivia,Cochabamba Department,66,0,6,-18.0226485,-70.2535437
135,Bolivia,Oruro Department,62,0,2,-22.088964400000002,-65.59196452500437
136,Bolivia,Potosi Department,21,0,1,-20.666667,-66.666667
137,Bolivia,Pando Department,12,0,1,-11.183333,-67.183333
138,Bolivia,Tarija Department,3,0,0,-11.3760022,-67.288238
139,Bolivia,Beni Department,2,0,1,-19.024982,-65.703455
140,Bolivia,Chuquisaca Department,2,0,0,-64.416667,-20.0
141,Brazil,State of São Paulo,16740,0,1345,-23.5506507,-46.6333824
142,Brazil,State of Rio de Janeiro,6172,0,530,-22.9110137,-43.2093727
143,Brazil,State of Ceará,4598,0,266,-5.3264703,-39.7156073
144,Brazil,State of Pernambuco,3519,0,312,-8.4116316,-37.5919699
145,Brazil,State of Amazonas,2888,0,234,-4.479925,-63.5185396
146,Brazil,State of Bahia,1789,0,59,-12.285251,-41.9294776
147,Brazil,State of Maranhão,1757,0,76,-5.2085503,-45.3930262
148,Brazil,State of Espírito Santo,1363,0,42,-19.5687682,-40.1721991
